Player,Role,Amount,Team,Year,Player Origin
Dale Steyn,Bowler,20000000,RCB,2020,Overseas
Dan Christian,All-Rounder,48000000,RCB,2021,Overseas
Daniel Christian,All-Rounder,7500000,RCB,2013,Overseas
Daniel Christian,All-Rounder,10000000,RPSG,2017,Overseas
Daniel Christian,All-Rounder,15000000,DC,2018,Overseas
Daniel Sams,All-Rounder,26000000,MI,2022,Overseas
Darcy Short,All-Rounder,40000000,RR,2018,Overseas
Darren Bravo,Batter,5000000,KKR,2017,Overseas
Darren Sammy,All-Rounder,31875000,SRH,2013,Overseas
Darren Sammy,All-Rounder,35000000,SRH,2014,Overseas
Darren Sammy,All-Rounder,28000000,RCB,2015,Overseas
Darren Sammy,All-Rounder,3000000,PBKS,2017,Overseas
Darshan Nalkande,All-Rounder,3000000,PBKS,2019,Indian
Darshan Nalkande,All-Rounder,2000000,GT,2022,Indian
Daryl Mitchell,All-Rounder,7500000,RR,2022,Overseas
David Miller,Batter,30000000,PBKS,2018,Overseas
David Miller,Batter,7500000,RR,2020,Overseas
David Miller,Batter,30000000,GT,2022,Overseas
David Warner,Batter,55000000,SRH,2014,Overseas
David Warner,Batter,62500000,DC,2022,Overseas
David Wiese,All-Rounder,28000000,RCB,2015,Overseas
David Willey,All-Rounder,20000000,RCB,2022,Overseas
Dawid Malan,All-Rounder,15000000,PBKS,2021,Overseas
Debabrata Das,Batter,2000000,KKR,2014,Indian
Deepak Chahar,All-Rounder,1000000,RPSG,2016,Indian
Deepak Chahar,All-Rounder,8000000,CSK,2018,Indian
Deepak Chahar,Bowler,140000000,CSK,2022,Indian
Deepak Hooda,Bowler,4000000,RR,2014,Indian
Deepak Hooda,All-Rounder,42000000,SRH,2016,Indian
Deepak Hooda,All-Rounder,36000000,SRH,2018,Indian
Deepak Hooda,All-Rounder,5000000,PBKS,2020,Indian
Deepak Hooda,All-Rounder,57500000,LSG,2022,Indian
Deepak Punia,All-Rounder,1000000,MI,2016,Indian
Devdutt Padikkal,Batter,2000000,RCB,2019,Indian
Devdutt Padikkal,Batter,77500000,RR,2022,Indian
Devon Conway,Batter,10000000,CSK,2022,Overseas
Dewald Brevis,Batter,30000000,MI,2022,Overseas
Dhawal Kulkarni,Bowler,11000000,RR,2014,Indian
Dhawal Kulkarni,Bowler,20000000,GL,2016,Indian
Dhawal Kulkarni,Bowler,7500000,RR,2018,Indian
Dhruv Jurel,Batter,2000000,RR,2022,Indian
Dhruv Shorey,All-Rounder,2000000,CSK,2018,Indian
Digvijay Deshmukh,All-Rounder,2000000,MI,2020,Indian
Dinesh Karthik,Batter,125000000,DC,2014,Indian
Dinesh Karthik,Batter,105000000,RCB,2015,Indian
