Mohit Sharma,7,7,0,117,45,16.71,103,113.59,0,0,13,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Santner,177,135,51,2035,92*,24.22,1516,134.23,0,6,157,92,64,0,177,174,3692,4326,180,4/11,4/11,24.03,7.03,20.5,2,0,0
Lungisani Ngidi
Harbhajan Singh
Milind Kumar,58,52,12,1176,64*,29.40,1047,112.32,0,6,113,21,22,0,58,18,196,267,5,2/30,2/30,53.40,8.17,39.2,0,0,0
Shikhar Dhawan,329,326,34,9645,106*,33.03,7695,125.34,2,69,1090,224,133,0,329,6,48,66,4,1/7,1/7,16.50,8.25,12.0,0,0,0
Joel Paris,39,18,6,81,16*,6.75,86,94.18,0,0,4,3,11,0,39,38,739,1088,34,3/22,3/22,32.00,8.83,21.7,0,0,0
Travis Head,107,103,13,2494,101*,27.71,1859,134.15,1,10,192,105,36,0,107,44,445,627,22,3/16,3/16,28.50,8.45,20.2,0,0,0
Mayank Markande,74,21,15,103,33*,17.16,90,114.44,0,0,10,2,16,0,74,74,1508,1886,80,4/4,4/4,23.57,7.50,18.8,4,0,0
Prashant Chopra,67,66,8,2004,99*,34.55,1747,114.71,0,13,198,46,37,2,67,7,66,86,2,2/18,2/18,43.00,7.81,33.0,0,0,0
Karun Nair,157,142,17,3207,111,25.65,2422,132.41,2,18,317,106,64,0,157,11,85,100,4,1/2,1/2,25.00,7.05,21.2,0,0,0
Pawan Negi,119,83,32,803,41*,15.74,657,122.22,0,0,56,33,40,0,119,105,1905,2363,96,5/22,5/22,24.61,7.44,19.8,1,1,0
Darcy Short
Pratham Singh,41,41,3,1132,89,29.78,888,127.47,0,8,126,29,14,0,41,0,0,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh
Abhimanyu Mithun,74,34,12,131,18*,5.95,107,122.42,0,0,13,5,23,0,74,74,1414,1982,69,5/37,5/37,28.72,8.41,20.4,0,2,0
Vaibhav Rawal,5,5,2,97,39*,32.33,61,159.01,0,0,7,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Ravichandran Ashwin,309,126,51,1114,50,14.85,927,120.17,0,1,95,34,70,0,309,306,6684,7793,301,4/8,4/8,25.89,6.99,22.2,4,0,0
Jacques Kallis,176,171,28,4416,97*,30.88,3927,112.45,0,32,437,100,54,0,176,150,2747,3482,114,4/15,4/15,30.54,7.60,24.0,2,0,0
Prerak Mankad,47,42,10,970,72,30.31,687,141.19,0,8,95,34,22,0,47,33,492,700,22,4/48,4/48,31.81,8.53,22.3,1,0,0
Christopher Morris
Suyash Prabhudesai
M. Harisankar Reddy
Yudhvir Charak
Ankit Singh Rajpoot
Andrew Tye,231,95,39,723,44,12.91,561,128.87,0,0,46,41,77,0,231,227,4946,6772,321,5/17,5/17,21.09,8.21,15.4,9,3,0
Suryakumar Yadav,270,247,51,6969,117,35.55,4582,152.09,5,46,697,294,136,0,270,10,132,140,6,2/11,2/11,23.33,6.36,22.0,0,0,0
Umesh Yadav,186,68,39,321,26,11.06,261,122.98,0,0,23,18,51,0,186,184,3848,5311,193,5/18,5/18,27.51,8.28,19.9,4,2,0
Prabhsimran Singh,65,64,11,1769,119*,33.37,1252,141.29,2,12,171,92,26,11,65,0,0,0,0,0,0,0,0,0,0,0,0
Prince Balwant Rai Singh
Digvijay Deshmukh,7,2,0,19,10,9.50,14,135.71,0,0,0,2,3,0,7,7,156,258,9,3/34,3/34,28.66,9.92,17.3,0,0,0
