Rehan Ahmed,45.0,31.0,10,268.0,49.0,12.76,227.0,118.06,0,0,24.0,10,12.0,0,45.0,44.0,912.0,1189.0,46.0,0,0,25.84,7.82,19.8,1.0,0,0
Charith Asalanka,98.0,96.0,11.0,1999.0,80,23.51,1632.0,122.48,0,10,163.0,79.0,26.0,0,98.0,30,380,434.0,19.0,0,0,22.84,6.85,20,1.0,0,0
Brydon Carse,76.0,56.0,16.0,738.0,58.0,18.45,527.0,1403,0,2.0,45.0,30,27.0,0,76.0,67.0,1113.0,1678.0,40,0,0,41.95,9.04,27.8,0,0,0
Ben Cutting,209.0,175.0,47.0,2883.0,81.0,22.52,1968.0,146.49,0,5.0,194.0,178.0,99.0,0,209.0,177.0,2908.0,4370,136.0,0,0,32.13,9.01,21.3,0,1.0,0
Matthew Forde,18.0,13.0,6.0,112.0,52.0,16.0,88.0,127.27,0,1.0,10,4.0,4.0,0,18.0,16.0,284.0,307.0,22.0,0,0,13.95,6.48,12.9,2.0,0,0
George Garton,81.0,50,15.0,562.0,46.0,16.05,418.0,134.44,0,0,52.0,22.0,19.0,0,81.0,77.0,1301.0,1958.0,72.0,0,0,27.19,9.02,18.0,3.0,0,0
George Linde,159.0,123.0,33.0,1677.0,63.0,18.63,1257.0,133.41,0,3.0,103.0,76.0,44.0,0,159.0,153.0,3074.0,3827.0,146.0,0,0,26.21,7.46,21.0,3.0,0,0
Keshav Maharaj,141.0,65.0,31.0,637.0,45.0,18.73,541.0,117.74,0,0,56.0,22.0,48.0,0,141.0,133.0,2849.0,3244.0,111.0,0,0,29.22,6.83,25.6,1.0,0,0
Wiaan Mulder,78.0,65.0,17.0,1313.0,83.0,27.35,1010,130,0,8.0,105.0,43.0,37.0,0,78.0,60,915.0,1299.0,46.0,0,0,28.23,8.51,19.8,0,0,0
Dasun Shanaka,196.0,183.0,42.0,3892.0,131.0,27.6,2750,141.52,3.0,15.0,280,225.0,65.0,0,196.0,100,1161.0,1706.0,63.0,0,0,27.07,8.81,18.4,0,0,0
Matthew Short,88.0,84.0,5.0,1832.0,100,23.18,1311.0,139.74,1.0,9.0,155.0,77.0,46.0,0,88.0,55.0,706.0,887.0,25.0,0,0,35.48,7.53,28.2,0,0,0
Odean Smith,93.0,65.0,25.0,721.0,44.0,18.02,534.0,135.01,0,0,47.0,54.0,32.0,0,93.0,88.0,1516.0,2503.0,93.0,0,0,26.91,9.9,16.3,1.0,0,0
Hanuma Vihari,89.0,88.0,10,1707.0,84.0,21.88,1475.0,115.72,0,7.0,157.0,42.0,34.0,2.0,89.0,38.0,486.0,608.0,27.0,0,0,22.51,7.5,18.0,0,0,0
Johnson Charles,236.0,230,9.0,5862.0,118.0,26.52,4503.0,130.17,3.0,33.0,559.0,272.0,85.0,7.0,236.0,5.0,43.0,69.0,5.0,0,0,13.8,9.62,8.6,0,0,0
Varun Aaron,95.0,33.0,18.0,133.0,17.0,8.86,184.0,72.28,0,0,11.0,4.0,15.0,0,95.0,93.0,1919.0,2731.0,93.0,0,0,29.36,8.53,20.6,0,0,0
Fareed Ahmad,61.0,17.0,9.0,74.0,24.0,9.25,77.0,96.1,0,0,9.0,1.0,11.0,0,61.0,60,1190,1664.0,64.0,0,0,26.0,8.38,18.5,0,0,0
Ben Dwarshuis,114.0,60,29.0,476.0,66.0,15.35,372.0,127.95,0,1.0,34.0,17.0,30,0,114.0,112.0,2394.0,3298.0,142.0,0,0,23.22,8.26,16.8,3.0,1.0,0
Richard Gleeson,82.0,20,11.0,51.0,8.0,5.66,61.0,83.6,0,0,6.0,0,17.0,0,82.0,79.0,1609.0,2213.0,91.0,0,0,24.31,8.25,17.6,1.0,1.0,0
Spencer Johnson,20,4.0,3.0,5.0,4.0,5.0,4.0,125.0,0,0,1.0,0,3.0,0,20,20,393.0,514.0,17.0,0,0,30.23,7.84,23.1,0,0,0
Lahiru Kumara,54.0,17.0,9.0,38.0,10,4.75,44.0,86.36,0,0,5.0,1.0,3.0,0,54.0,53.0,1094.0,1505.0,69.0,0,0,21.81,8.25,15.8,2.0,0,0
Obed Mccoy,85.0,24.0,8.0,124.0,23.0,7.75,119.0,104.2,0,0,10,8.0,18.0,0,85.0,84.0,1703.0,2465.0,112.0,0,0,22.0,8.68,15.2,4.0,2.0,0
Blessing Muzarabani,65.0,23.0,13.0,33.0,9.0,3.3,67.0,49.25,0,0,4.0,0,14.0,0,65.0,63.0,1339.0,1707.0,69.0,0,0,24.73,7.64,19.4,0,0,0
Richard Ngarava,77.0,32.0,14.0,89.0,15.0,4.94,82.0,108.53,0,0,8.0,3.0,12.0,0,77.0,76.0,1571.0,1899.0,81.0,0,0,23.44,7.25,19.3,0,0,0
George Scrimshaw,48.0,9.0,8.0,19.0,5.0,19.0,34.0,55.88,0,0,1.0,0,5.0,0,48.0,48.0,994.0,1468.0,64.0,0,0,22.93,8.86,15.5,0,0,0
Barinder Sran,48.0,21.0,12.0,106.0,19.0,11.77,80,132.5,0,0,11.0,3.0,9.0,0,48.0,48.0,966.0,1353.0,45.0,0,0,306,8.4,21.4,1.0,0,0
Oshane Thomas,68.0,16.0,8.0,19.0,8.0,2.37,42.0,45.23,0,0,2.0,0,8.0,0,68.0,66.0,1311.0,1979.0,83.0,0,0,23.84,9.05,15.7,1.0,1.0,0
Nuwan Thushara,79.0,24.0,16.0,38.0,7.0,4.75,42.0,90.47,0,0,2.0,2.0,11.0,0,79.0,78.0,1477.0,1899.0,107.0,0,0,17.74,7.71,13.8,3.0,1.0,0
Sandeep Warrier,72.0,8.0,5.0,13.0,7.0,4.33,30,43.33,0,0,1.0,0,12.0,0,72.0,72.0,1480,1767.0,63.0,0,0,28.04,7.16,23.4,0,0,0
Lizaad Williams,65.0,18.0,14.0,72.0,17.0,18.0,78.0,92.3,0,0,4.0,2.0,16.0,0,65.0,64.0,1288.0,1611.0,84.0,0,0,19.17,7.5,15.3,2.0,0,0
Luke Wood,122.0,47.0,21.0,224.0,33.0,8.61,216.0,103.7,0,0,11.0,6.0,40,0,122.0,121.0,2294.0,3237.0,127.0,0,0,25.48,8.46,18.0,1.0,1.0,0
Benny Howell,208.0,168.0,52.0,2574.0,57.0,22.18,1926.0,133.64,0,6.0,188.0,99.0,83.0,0,208.0,187.0,3824.0,4672.0,206.0,0,0,22.67,7.33,18.5,3.0,1.0,0
Jalaj Saxena,70,51.0,11.0,661.0,55.0,16.52,759.0,87.08,0,1.0,64.0,5.0,14.0,0,70,62.0,1181.0,1327.0,72.0,0,0,18.43,6.74,16.4,2.0,2.0,0
Corbin Bosch,53.0,36.0,10,529.0,81.0,20.34,460,114.99,0,2.0,47.0,11.0,21.0,0,53.0,46.0,824.0,1190,27.0,0,0,44.07,8.66,30.5,0,0,0
Kamlesh Nagarkoti,25.0,14.0,6.0,94.0,39.0,11.75,116.0,81.03,0,0,6.0,0,9.0,0,25.0,24.0,445.0,604.0,19.0,0,0,31.78,8.14,23.4,0,0,0
Basil Thampi,86.0,19.0,11.0,73.0,22.0,9.12,67.0,108.95,0,0,4.0,4.0,17.0,0,86.0,86.0,1788.0,2500,87.0,0,0,28.73,8.38,20.5,1.0,0,0
Lalit Yadav,10,3.0,1.0,19.0,9.0,9.5,24.0,79.16,0,0,2.0,1.0,2.0,0,10,10,185.0,237.0,7.0,0,0,33.85,7.68,26.4,0,0,0
Priyansh Arya,9.0,9.0,0,248.0,81.0,27.55,160,155.0,0,2.0,29.0,13.0,3.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
Shubham Dubey,20,19.0,6.0,485.0,58.0,37.3,334.0,145.2,0,1.0,26.0,30,3.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Kunnummal,27.0,27.0,4.0,771.0,101.0,33.52,623.0,123.75,1.0,4.0,95.0,16.0,11.0,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
