Baba Aparajith,63,53,11,1147,67,27.30,1053,108.92,0,4,80,31,31,0,63,28,362,364,17,2/9,2/9,21.41,6.03,21.2,0,0,0
Jass Inder Baidwan
Rahul Buddhi,26,23,7,415,72,25.93,335,123.88,0,1,40,12,7,0,26,1,2,4,0,0,0,0,12.00,0,0,0,0
Vaisakh Chandran,10,0,0,0,0,0,0,0,0,0,0,0,4,0,10,10,192,187,14,4/11,4/11,13.35,5.84,13.7,1,0,0
Writtick Chatterjee,33,19,5,276,51,19.71,228,121.05,0,1,21,10,14,0,33,28,522,537,26,3/12,3/12,20.65,6.17,20.0,0,0,0
Raj Chaudhary
Ravi Chauhan,30,30,3,815,86,30.18,710,114.78,0,8,91,12,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Ashwin Das,12,8,3,140,68,28.00,77,181.81,0,1,14,7,2,0,12,12,231,338,13,4/10,4/10,26.00,8.77,17.7,1,0,0
Aarya Desai,8,8,1,173,62,24.71,133,130.07,0,1,12,11,4,0,8,1,6,11,0,0,0,0,11.00,0,0,0,0
Vineet Dhankhar,7,7,0,170,56,24.28,133,127.81,0,1,17,8,2,0,7,3,14,16,0,0,0,0,6.85,0,0,0,0
Naman Dhir,5,4,0,39,17,9.75,28,139.28,0,0,1,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Harsh Dubey
Prerit Dutta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,36,29,3,2/4,2/4,9.66,4.83,12.0,0,0,0
Jake Fraser0Mcgurk
Shubhang Hegde,4,1,0,0,0,0.00,1,0.00,0,0,0,0,1,0,4,4,84,98,2,1/16,1/16,49.00,7.00,42.0,0,0,0
Saransh Jain,20,8,2,37,11,6.16,55,67.27,0,0,0,0,5,0,20,17,330,344,18,3/13,3/13,19.11,6.25,18.3,0,0,0
Duan Jansen,32,21,7,266,41,19.00,177,150.28,0,0,20,13,12,0,32,31,611,844,25,3/27,3/27,33.76,8.28,24.4,0,0,0
Mohammad Kaif,75,68,11,1237,70,21.70,1201,102.99,0,7,117,26,42,0,75,0,0,0,0,0,0,0,0,0,0,0,0
Anshul Kamboj,9,5,4,22,8,22.00,24,91.66,0,0,2,0,2,0,9,9,144,166,11,3/12,3/12,15.09,6.91,13.0,0,0,0
Aman Khan,25,22,5,263,51,15.47,193,136.26,0,1,22,15,17,0,25,10,120,163,4,2/14,2/14,40.75,8.15,30.0,0,0,0
Mohd Arslan Khan
Musheer Khan
Tanush Kotian,23,9,6,62,28,20.66,54,114.81,0,0,4,2,9,0,23,22,475,481,24,4/16,4/16,20.04,6.07,19.7,1,0,0
Sumit Kumar
Manvanth Kumar
Saurabh Kumar,33,15,3,148,33,12.33,115,128.69,0,0,12,8,13,0,33,33,628,736,24,5/28,5/28,30.66,7.03,26.1,1,1,0
